month_name,SKU Code,Qty
August,531224,25
August,531991,11
August,531992,2
August,532008,184
August,532009,91
August,532319,3
August,532555,3
August,533051,17
August,533052,9
August,533060,5
August,533287,15
August,533289,6
August,533290,7
August,533360,20
August,533361,20
August,533401,68
August,533402,82
August,533407,21
August,533408,24
August,533683,48
August,533685,29
August,533770,112
August,533771,86
August,533991,21
August,534104,11
August,535310,51
August,535858,67
August,535993,45
August,537439,7
August,538344,37
August,538746,73
August,539742,9
August,540362,35
August,540363,30
August,540364,42
August,540365,11
August,540916,1
August,541547,12
August,541548,9
August,541958,239
August,542954,7
August,543522,4
August,544024,20
August,544922,34
August,544923,16
August,544924,37
August,545187,50
August,545188,42
August,545189,69
August,545190,14
August,545191,31
August,545192,27
August,545194,41
August,545229,22
August,545230,78
August,545231,28
August,545482,12
August,545483,3
August,545784,74
August,545813,24
August,545814,14
August,545831,28
August,546818,41
August,546918,5
August,547494,31
August,547495,24
August,547496,17
August,547497,13
August,547675,9
August,548243,7
August,548919,871
August,549381,72
August,549382,47
August,550892,14
August,550893,1
August,551008,18
August,551009,33
August,551010,7
August,551802,1
August,552233,1
August,552236,274
August,552237,10
August,552621,1
August,553091,3
August,553092,83
August,553093,18
August,553094,32
August,553853,17
August,553857,37
August,553858,61
August,554276,15
August,554289,57
August,554290,49
August,554425,1
August,554439,6
August,554864,7
August,555341,12
August,555345,19
August,555347,31
August,555348,30
August,555350,26
August,555351,18
August,555901,9
August,555902,11
August,555903,26
August,555904,27
August,555905,4
August,555909,43
August,555911,14
August,555912,14
August,555916,12
August,555932,1
August,555945,141
August,556435,1
August,556563,24
August,556564,16
August,557155,102
August,557156,36
August,557157,54
August,557159,44
August,557160,31
August,557162,13
August,557163,6
August,557438,159
August,557468,1
August,558649,39
August,558818,3
August,559144,1
August,559151,1
August,562018,13
August,562019,2
August,562021,20
August,562022,1
August,562027,7
August,562028,21
August,562030,21
August,562033,3
August,562034,11
August,562035,5
August,562036,16
August,562040,11
August,562041,9
August,562046,2
August,562394,12
August,562395,6
August,562396,39
August,562400,2
August,562401,3
August,562407,13
August,562408,19
August,562409,21
August,562790,12
August,562946,42
August,562979,1
August,562981,1
August,562982,1
August,562989,3
August,562990,4
August,563013,48
August,563634,16
August,563824,113
August,563935,3
August,563936,118
August,563937,1
August,564051,16
August,564052,2
August,564253,2
August,564257,41
August,564590,1
August,564877,4
August,564878,3
August,564881,66
August,564901,12
August,565731,1
August,565732,3
August,566767,113
August,567016,2
August,567020,1
August,567101,5
August,567113,4
August,567370,17
August,567371,21
August,567372,57
August,567373,22
August,567374,32
August,567389,39
August,567391,7
August,567392,9
August,567393,13
August,567394,4
August,567395,11
August,567468,12
August,567469,10
August,567470,6
August,567471,16
August,567473,40
August,567474,7
August,567840,4
August,568392,8
August,568417,14
August,568422,13
August,568953,13
August,568954,6
August,568956,3
August,568957,1
August,568959,6
August,568960,64
August,568965,1
August,568967,30
August,568971,11
August,568972,10
August,568974,83
August,568975,65
August,568976,224
August,569112,1
August,569113,6
August,569114,4
August,569115,17
August,569116,7
August,569117,15
August,569118,4
August,569124,47
August,569126,1
August,569192,23
August,569193,57
August,569194,33
August,569211,31
August,569802,28
August,569803,59
August,570291,19
August,570292,69
August,570293,3
August,570597,1
August,570598,7
August,570599,19
August,570600,5
August,570725,1
August,570727,1
August,570728,1
August,570729,8
August,570730,1
August,570732,4
August,570734,3
August,570735,5
August,570927,197
August,570928,148
August,570929,111
August,570932,3
August,570938,4
August,570939,35
August,570940,52
August,570941,75
August,570942,98
August,570943,102
August,570944,22
August,570959,70
August,570961,411
August,570963,102
August,570965,28
August,570966,133
August,570967,101
August,570969,249
August,570970,103
August,570971,80
August,570972,140
August,570973,147
August,570974,39
August,570975,161
August,570976,53
August,570977,67
August,570978,132
August,570997,5
August,570998,3
August,570999,10
August,571000,2
August,571001,2
August,571002,7
August,571004,1
August,571005,6
August,571006,7
August,571008,10
August,571018,49
August,571021,10
August,571030,18
August,571031,7
August,571032,6
August,571033,5
August,571034,8
August,571035,3
August,571131,172
August,571132,27
August,571133,28
August,571134,23
August,571135,23
August,571136,45
August,571137,30
August,571138,155
August,571139,30
August,571140,23
August,571141,93
August,571156,4
August,571223,136
August,571225,151
August,571227,134
August,571228,1
August,571229,11
August,571230,12
August,571231,84
August,571232,1
August,571233,1
August,571234,17
August,571235,115
August,571236,1
August,571238,11
August,571239,2
August,571240,1
August,571241,2
August,571243,5
August,571245,24
August,571247,7
August,571248,125
August,571249,16
August,571253,16
August,571254,2
August,571256,1
August,571258,2
August,571259,73
August,571260,2
August,571261,5
August,571262,2
August,571265,10
August,571268,7
August,571269,17
August,571270,34
August,571271,13
August,571272,9
August,571273,23
August,571277,3
August,571278,4
August,571279,1
August,571378,23
August,571379,86
August,571424,184
August,571425,72
August,571426,60
August,571427,34
August,571428,4
August,571429,10
August,571439,18
August,571440,15
August,571582,3
August,571583,6
August,571584,3
August,571585,1
August,571586,2
August,571588,6
August,571589,2
August,571927,15
August,571931,8
August,571932,17
August,571933,33
August,571939,30
August,571941,11
August,571942,1
August,571945,20
August,571947,33
August,571949,6
August,572025,32
August,572034,26
August,572042,2
August,572044,2
August,572048,12
August,572053,33
August,572055,16
August,572056,34
August,572057,7
August,572058,4
August,572059,2
August,572061,16
August,572063,17
August,572065,1
August,572075,3
August,572076,1
August,572077,1
August,572078,1
August,572280,5
August,572281,2
August,572282,23
August,572283,22
August,572284,1
August,572285,7
August,572287,1
August,572290,1
August,572291,1
August,572292,3
August,572293,12
August,572294,2
August,572295,3
August,572296,9
August,572322,5
August,572323,3
August,572325,1
August,572326,2
August,572327,11
August,572368,1
August,572516,22
August,572517,51
August,572518,19
August,572519,47
August,572520,102
August,572521,47
August,572526,28
August,572547,9
August,572548,12
August,572550,15
August,572551,1
August,572553,7
August,572578,29
August,572579,19
August,572580,12
August,573030,47
August,573031,8
August,573032,2
August,573033,29
August,573034,2
August,573035,2
August,573036,1
August,573037,3
August,573038,1
August,573039,1
August,573324,6
August,573325,1
August,573326,1
August,573327,3
August,573328,3
August,573329,16
August,573330,1
August,573331,20
August,573333,1
August,573335,6
August,573336,11
August,573337,2
August,573338,28
August,573340,34
August,573341,5
August,573342,11
August,573343,13
August,573344,2
August,573345,5
August,573346,2
August,573347,2
August,573348,12
August,573496,1
August,573499,2
August,573503,2
August,573509,1
August,573556,2
August,573557,6
August,573558,2
August,573559,55
August,573560,14
August,573561,18
August,573562,1
August,573563,16
August,573564,21
August,573565,17
August,573566,4
August,573567,1
August,573570,1
August,573574,1
August,573578,3
August,573579,13
August,573580,24
August,573581,16
August,573582,4
August,573584,1
August,573611,10
August,573612,1
August,573613,4
August,573614,4
August,573615,7
August,573616,6
August,573617,2
August,573701,1
August,573705,2
August,573706,1
August,573708,1
August,573709,2
August,573741,5
August,573742,2
August,573743,1
August,573744,36
August,573745,3
August,573746,3
August,573747,5
August,573748,58
August,573749,55
August,573750,3
August,573792,3
August,573793,2
August,573795,1
August,573797,1
August,573798,1
August,573829,2
August,573830,1
August,573831,2
August,573832,2
August,573833,5
August,573835,1
August,573836,1
August,573838,1
August,573839,1
August,573840,0
August,574095,2
August,574096,3
August,574097,2
August,574098,15
August,574099,20
August,574100,11
August,574101,2
August,574102,12
August,574103,13
August,574104,4
August,574105,54
August,574106,46
August,574107,3
August,574108,2
August,574109,5
August,574110,5
August,574111,2
August,574112,2
August,574113,10
August,574114,7
August,574115,13
August,574116,5
August,574117,3
August,574118,1
August,574310,3
August,574313,5
August,574314,4
August,574315,4
August,574549,5
August,574550,2
August,574551,4
August,574552,4
August,574553,15
August,574554,17
August,574555,17
August,574742,41
August,574743,46
August,574744,76
August,574745,92
August,574746,39
August,574750,1
August,574752,2
August,574753,1
August,574755,22
August,574756,5
August,574757,19
August,574758,3
August,574759,4
August,574760,10
August,574761,4
August,574762,14
August,574763,11
August,574764,48
August,574765,6
August,574766,7
August,574864,16
August,575052,4
August,575053,1
August,575054,3
August,575055,1
August,575056,1
August,575057,3
August,575058,2
August,575061,10
August,575065,3
August,575068,1
August,575072,7
August,575073,8
August,575074,3
August,575075,3
August,575076,5
August,575084,6
August,575085,6
August,575086,5
August,575087,1
August,575088,1
August,575090,3
August,575091,3
August,575092,5
August,575093,1
August,575094,3
August,575095,6
August,575096,2
August,575097,2
August,575098,3
August,575099,1
August,575100,3
August,575102,2
August,575103,20
August,575104,4
August,575105,4
August,575106,18
August,575848,7
August,575850,2
August,575851,5
August,575852,8
August,575853,3
August,575854,2
August,575855,16
August,575858,1
August,575860,14
August,575861,12
August,575862,3
August,575863,6
August,575864,8
August,575865,1
August,575866,6
August,575868,20
August,575869,2
August,575871,0
August,575872,3
August,575873,17
August,575874,1
August,575875,7
August,575876,19
August,575877,1
August,575878,1
August,576393,7
August,576394,2
August,576397,4
August,576400,7
August,576401,9
August,576402,5
August,576514,16
August,576515,5
August,576516,6
August,576517,9
August,576518,10
August,576519,6
August,576520,11
August,576523,11
August,576524,6
August,576525,3
August,576526,5
August,576747,1
August,576748,1
August,576750,1
August,576852,7
August,576854,4
August,576855,16
August,576856,12
August,576857,30
August,576859,3
August,576860,4
August,576861,17
August,576862,41
August,576863,11
August,576864,15
August,576865,4
August,576866,45
August,576867,12
August,576868,33
August,576869,38
August,576870,3
August,576871,4
August,576872,36
August,576873,4
August,576874,1
August,576875,1
August,576876,21
August,576877,21
August,576879,1
August,576880,18
August,576881,3
August,576882,16
August,576883,46
August,576884,1
August,576886,11
August,576887,47
August,576888,11
August,576889,19
August,576890,26
August,576891,1
August,576892,35
August,576893,46
August,576894,21
August,576896,5
August,576897,39
August,576898,19
August,576899,32
August,576919,7
August,576920,3
August,576939,13
August,576940,14
August,576942,2
August,576943,5
August,576945,1
August,576948,3
August,576985,2
August,576986,2
August,577169,5
February,504896,1
February,504900,1
February,506142,1
February,506150,99
February,506152,42
February,506153,51
February,506154,60
February,506168,1
February,506172,69
February,506173,112
February,506280,239
February,506527,62
February,508804,12
February,508806,4
February,508808,7
February,508809,9
February,508810,22
February,508811,29
February,508812,6
February,508813,4
February,508824,21
February,508825,31
February,508836,16
February,508839,5
February,508840,17
February,508848,6
February,510292,8
February,517693,18
February,518228,15
February,518243,16
February,518445,20
February,518536,4
February,518538,20
February,522192,9
February,522342,24
February,522628,14
February,523309,13
February,524361,19
February,525572,1
February,526208,24
February,526307,14
February,526308,25
February,526309,10
February,526310,12
February,526584,76
February,526586,40
February,527097,18
February,527106,7
February,527495,26
February,527497,14
February,528193,15
February,528194,9
February,528201,6
February,528202,4
February,528814,19
February,528815,17
February,529488,4
February,529497,58
February,530297,105
February,530298,83
February,530299,102
February,530302,134
February,530343,45
February,530344,52
February,530345,19
February,531179,73
February,531219,28
February,531221,6
February,531222,4
February,531224,22
February,531991,4
February,532008,165
February,532009,54
February,532319,11
February,532555,10
February,532990,1
February,533051,17
February,533052,2
February,533060,2
February,533287,6
February,533289,5
February,533290,6
February,533360,13
February,533361,23
February,533401,42
February,533402,86
February,533407,19
February,533408,13
February,533683,22
February,533685,20
February,533686,2
February,533770,71
February,533771,79
February,533935,1
February,533991,5
February,534103,24
February,534104,15
February,535310,30
February,535858,65
February,535993,40
February,537439,6
February,538344,4
February,538603,3
February,538746,23
February,539742,4
February,540027,2
February,540362,30
February,540363,34
February,540364,21
February,540365,12
February,541547,12
February,541548,7
February,541958,140
February,542954,11
February,543522,4
February,543811,1
February,544024,39
February,544922,16
February,544923,14
February,544924,25
February,545187,47
February,545188,43
February,545189,66
February,545190,22
February,545191,25
February,545192,36
February,545194,19
February,545229,11
February,545230,33
February,545231,23
February,545482,4
February,545483,2
February,545784,60
February,545813,1
February,545814,12
February,545831,31
February,546258,3
February,546259,3
February,546818,33
February,546886,1
February,546918,8
February,547494,23
February,547495,26
February,547496,13
February,547497,9
February,547675,16
February,548243,8
February,548919,393
February,549376,1
February,549381,66
February,549382,40
February,550680,17
February,550892,15
February,550893,7
February,551008,25
February,551009,22
February,551010,11
February,551802,8
February,552236,188
February,552237,2
February,553091,1
February,553092,36
February,553093,16
February,553094,17
February,553544,2
February,553820,1
February,553853,11
February,553857,50
February,553858,73
February,554276,16
February,554289,26
February,554290,33
February,554425,1
February,554439,8
February,554864,10
February,555341,6
February,555345,24
February,555347,9
February,555348,22
February,555350,13
February,555351,11
February,555356,1
February,555901,16
February,555902,16
February,555903,37
February,555904,34
February,555905,6
February,555909,40
February,555911,18
February,555912,15
February,555914,1
February,555916,2
February,555945,62
February,555946,1
February,556435,1
February,556564,28
February,557155,98
February,557156,12
February,557157,8
February,557159,17
February,557160,21
February,557162,16
February,557163,4
February,557438,103
February,558649,37
February,558677,1
February,558818,8
February,561865,2
February,561866,1
February,561880,1
February,562018,13
February,562019,3
February,562021,8
February,562022,2
February,562027,15
February,562028,30
February,562030,16
February,562033,9
February,562034,22
February,562035,1
February,562036,16
February,562040,16
February,562041,12
February,562046,2
February,562248,2
February,562256,1
February,562394,20
February,562395,11
February,562396,34
February,562400,3
February,562401,5
February,562407,4
February,562408,9
February,562409,14
February,562790,12
February,562946,37
February,562955,1
February,562971,1
February,562979,4
February,562981,4
February,562982,1
February,562983,4
February,562989,11
February,562990,6
February,563013,33
February,563634,22
February,563824,52
February,563935,41
February,563936,68
February,563937,5
February,564051,6
February,564052,2
February,564253,35
February,564257,42
February,564584,1
February,564877,4
February,564881,66
February,564901,8
February,565729,1
February,565732,5
February,566767,88
February,567101,5
February,567113,4
February,567370,14
February,567371,16
February,567372,2
February,567373,25
February,567374,36
February,567386,1
February,567389,19
February,567391,4
February,567392,3
February,567393,4
February,567394,5
February,567395,7
February,567469,2
February,567470,5
February,567471,11
February,567473,27
February,567474,7
February,567840,3
February,568392,5
February,568417,9
February,568422,20
February,568949,2
February,568953,9
February,568954,8
February,568956,1
February,568957,5
February,568959,11
February,568960,51
February,568961,1
February,568966,1
February,568967,28
February,568968,6
February,568971,4
February,568972,60
February,568974,89
February,568975,60
February,568976,38
February,569112,7
February,569113,9
February,569114,4
February,569115,17
February,569116,12
February,569117,22
February,569118,4
February,569124,25
February,569125,2
February,569126,4
February,569192,15
February,569193,19
February,569194,20
February,569211,5
February,569802,5
February,569803,32
February,570291,7
February,570292,31
February,570294,2
February,570597,1
February,570598,5
February,570599,11
February,570600,3
February,570717,1
February,570719,1
February,570726,1
February,570729,1
February,570730,1
February,570733,2
February,570738,2
February,570927,148
February,570928,97
February,570929,87
February,570932,29
February,570933,1
February,570934,14
February,570935,34
February,570936,57
February,570937,3
February,570938,32
February,570939,27
February,570940,55
February,570941,56
February,570942,122
February,570943,95
February,570944,16
February,570959,68
February,570961,309
February,570963,73
February,570965,34
February,570966,105
February,570967,80
February,570969,150
February,570970,50
February,570971,140
February,570972,87
February,570973,114
February,570974,71
February,570975,124
February,570976,62
February,570977,81
February,570978,104
February,570997,4
February,570999,2
February,571000,2
February,571002,1
February,571003,2
February,571004,3
February,571005,1
February,571006,2
February,571008,3
February,571011,1
February,571017,1
February,571018,40
February,571020,2
February,571021,3
February,571027,1
February,571029,2
February,571030,7
February,571031,2
February,571032,1
February,571033,2
February,571034,2
February,571035,11
February,571036,10
February,571131,248
February,571132,16
February,571133,20
February,571134,17
February,571135,39
February,571136,40
February,571137,24
February,571138,93
February,571139,19
February,571140,22
February,571141,57
February,571156,3
February,571158,2
February,571159,1
February,571223,71
February,571224,1
February,571225,103
February,571227,74
February,571229,26
February,571230,18
February,571231,55
February,571232,1
