SKU_Code,Product_Name,Brand,Category,Train_Days,Test_Days,Actual_Total,Forecast_Total,MAE,MAPE,Accuracy
571141,LBP RICE WTR ANGLICA SEED OIL CNDTNR200M,LBP,HAIR CARE,161,27,56.0,83.1929504758609,1.404500469183577,2384.217687980362,0.0
526586,LAK PF RADIANCE FACE WASH 50ML,Lakme,SKIN,165,21,33.0,66.06946002443739,1.306908784503418,5963.612440264857,0.0
535993,LAK ABS SKN GLS GEL CRM 50G,Lakme,SKIN,179,20,39.0,51.44499826858268,1.0525046701600773,5135.664788458083,0.0
563013,LAKME FACEIT COMPACT PEARL 9G,Lakme,MAKEUP,182,21,46.0,68.98639797589499,1.2807987769173026,7094.089712221772,0.0
533401,LAK ABS WI W&D COMP GLDN LGT04,Lakme,MAKEUP,181,22,36.0,58.2876355425897,1.0957036805250664,4722.995699940573,0.0
553857,PONDS SUPER LIGHT GEL 98G,Ponds,SKIN,176,17,35.0,47.09040258745512,1.0755235151461997,6288.1109845319415,0.0
570940,LBP ONION BLKSEED&PATCHOULI HAIROIL 200M,LBP,HAIR CARE,154,24,76.0,67.11790585952868,1.4912305642682613,4010.039982966038,0.0
571018,LAKME ABSOLUTE GLOW PRIMER,Lakme,MAKEUP,177,26,55.0,53.786359591376026,1.001639254459825,2103.707028037719,0.0
564881,LAKME ABS EXPEYEPNCIL MYSTERIUSBLACK1.2G,Lakme,MAKEUP,135,24,80.0,98.31505091099748,1.6236896478881029,4832.438191225342,0.0
546818,LAKME LSE ULTRAMATTE COMPACT SPF40 7G,Lakme,SKIN,181,22,49.0,48.27904225644651,1.0695323734003883,4133.8579879084355,0.0
571425,LAKME SOLUTION MASK HYDRATING 25ML,Lakme,SKIN,155,22,54.0,75.05874847554996,1.572118878423614,5934.197497245224,0.0
554289,LAKME 9TO5 P+M FDN N220 NEUTRALMED25ML,Lakme,MAKEUP,172,25,50.0,54.39774731367185,1.0853634390562827,2802.575586063295,0.0
567389,INDULEK BRINGA HR CLENSR XL BTL 580ML,INDULEKHA,HAIR CARE,150,22,53.0,63.031701485229036,1.3736101169253263,4421.042524137733,0.0
569193,LAKME ABS LOOSE FINISHING POWDR BEIGE8GM,Lakme,MAKEUP,162,25,60.0,82.26795297976751,1.1711568447499612,4242.637340611496,0.0
545188,LAKME 9TO5 P+M COMPACT ROSE SILAKME9G,Lakme,MAKEUP,179,17,36.0,48.231424578129335,1.1407450940186912,6714.878340195871,0.0
571249,LAKME TRUEWEAR COLOR CRUSH 415,Lakme,MAKEUP,152,27,74.0,60.21894670520312,1.2258247781497478,1933.3636277069204,0.0
571426,LAKME SOLUTION MASK REJUVENATING 25ML,Lakme,SKIN,164,15,34.0,59.520286303337784,1.329360948529179,9452.485980996888,0.0
551009,LAKME PEACH MILK SOFT CREME 200G,Lakme,SKIN,159,25,76.0,61.52277262119586,1.6129700515460264,3218.560322716588,0.0
